PF19546	211,75,59
PF10127	100,155,226
PF03976	50,194,100
PF02657	228,97,78
PF10060	95,198,133
PF13190	87,207,144
PF06953	152,199,85
PF14066	213,210,103
PF06055	222,88,155
PF10108	54,215,140
PF19278	214,179,84
PF01323	229,67,142
PF19403	145,67,189
PF14516	187,78,164
PF16565	101,85,187
PF02412	74,105,179
PF13358	223,146,65
PF13228	197,143,70
PF10881	92,167,186
PF15738	224,82,81
PF04221	80,192,203
PF20108	98,204,196
PF11303	203,101,76
PF21347	204,93,226
PF10988	81,136,213
PF20466	65,183,214
PF20465	192,158,50
PF19545	54,137,216
PF05547	228,210,69
PF20774	170,93,208
PF18915	205,65,159
PF18914	199,66,106
PF14376	102,95,214
PF11750	94,172,193
PF09394	149,192,68
PF02522	139,181,82
PF18905	195,124,96
PF10099	221,153,105
PF14224	194,197,61
PF03824	50,184,184
PF21820	205,131,68
PF19315	160,83,187
PF18944	74,56,220
PF18934	149,205,82
PF10094	58,220,67
PF21156	192,215,61
PF06262	92,131,196
PF14721	203,72,126
PF14079	74,180,111
PF16261	190,162,93
PF14511	219,107,176
PF03713	54,188,55
PF13115	94,210,110
PF09922	209,202,92
PF07876	93,107,210
PF09619	146,87,212
PF11783	141,198,96
PF11322	185,81,109
PF13188	72,86,195
PF09835	216,101,130
PF00775	156,184,88
PF09684	78,197,194
PF04965	215,71,200
PF05488	147,189,81
PF04717	80,207,205
PF19266	222,192,81
PF06841	78,200,144
PF14065	84,226,69
PF20387	198,68,80
PF15731	173,222,59
PF02415	196,195,59
PF12088	213,81,120
PF20114	179,161,52
PF13290	199,55,217
PF14312	109,223,83
PF09966	85,103,217
PF21619	76,119,220
PF04214	215,84,210
PF03864	75,166,196
PF09956	191,73,208
PF10123	93,68,229
PF03592	84,178,145
PF10162	210,133,98
PF16197	190,65,93
PF21089	153,93,226
PF19860	62,217,204
PF14175	79,85,181
PF12623	95,229,138
PF19594	149,73,187
PF16859	186,86,155
PF19756	178,56,180
PF21036	88,94,206
PF18369	83,191,152
PF08990	145,182,59
PF03559	173,90,210
PF17765	52,183,196
PF13454	96,208,212
PF17754	73,135,224
PF06500	105,223,193
PF21274	150,223,78
PF05694	67,179,184
PF04417	116,93,202
PF06737	167,206,66
PF11991	118,184,65
PF20087	194,69,167
PF18975	70,183,161
PF04536	188,192,93
PF14535	105,204,215
PF20394	48,124,185
PF16403	97,98,214
PF09579	73,190,165
PF19465	189,51,131
PF00041	220,73,167
PF01073	213,106,74
PF01650	98,201,201
PF13855	156,195,79
PF12799	111,190,60
PF01929	216,135,69
PF04072	65,186,170
PF05889	209,101,184
PF03795	84,201,68
PF01080	80,206,205
PF14701	133,84,185
PF20973	216,59,125
PF10974	168,211,54
PF11977	59,177,181
PF10342	61,190,58
PF06739	66,184,116
PF08360	174,101,211
PF11070	49,184,94
PF05129	92,54,195
PF02275	163,181,69
PF02317	209,173,54
PF13415	87,186,150
PF00240	128,194,90
PF11838	137,56,192
PF01011	192,87,107
PF09889	128,97,225
PF04670	145,82,190
PF00560	97,141,215
PF05621	52,135,179
PF14478	213,83,153
PF21440	121,190,89
PF03577	55,140,186
PF13239	185,75,132
PF11175	118,73,225
PF02929	205,136,84
PF16353	181,155,68
PF13195	176,195,97
PF18741	63,59,206
PF17975	221,83,149
PF12419	188,180,64
PF03382	97,209,103
PF00022	54,59,185
PF02544	200,219,100
PF16983	222,62,127
PF10269	202,123,76
PF00125	61,65,181
PF01301	95,160,197
PF09138	191,228,90
PF04282	91,220,190
PF13596	195,87,184
PF18145	209,77,159
PF18144	85,181,100
PF02943	61,111,218
PF02662	219,119,100
PF04077	94,144,190
PF13686	93,229,108
PF04756	61,84,203
PF05893	207,70,111
PF04443	207,157,99
PF06054	85,210,217
PF10386	64,72,201
PF02838	178,69,100
PF00728	163,83,197
PF11369	184,195,90
PF01399	207,115,69
PF06283	115,201,88
PF17723	191,105,69
PF13516	180,65,61
PF18958	63,196,147
PF20168	72,201,183
PF19709	189,81,203
PF01781	187,66,65
PF19641	82,91,179
PF15514	178,116,53
PF01193	129,87,212
PF16295	70,223,212
PF19620	181,157,61
PF13639	74,204,179
PF19112	87,208,195
PF00626	74,167,200
PF05753	182,66,170
PF04324	179,47,121
PF07892	69,191,166
PF14251	107,228,66
PF07944	192,87,124
PF20736	204,93,125
PF20737	167,93,217
PF03332	133,197,53
PF19510	182,104,216
PF04230	47,92,189
PF13452	148,186,61
PF05899	178,50,129
PF09962	46,119,182
PF04157	192,60,141
PF02065	126,188,79
PF09834	119,57,219
PF01913	227,146,89
PF02741	148,57,184
PF10469	109,207,92
PF09819	186,66,156
PF03971	182,45,92
PF08433	212,102,139
PF18761	228,198,87
PF12893	189,82,191
PF11907	207,68,212
PF13392	114,185,56
PF08937	206,182,88
PF12651	64,191,192
PF08570	64,160,195
PF14539	81,96,186
PF02805	87,185,150
PF12476	95,121,208
PF07786	154,229,74
PF11756	201,59,90
PF00078	93,183,68
PF08821	162,90,183
PF13566	181,84,101
PF14424	179,154,50
PF20122	54,206,148
PF14595	58,135,186
PF19890	205,143,53
PF09509	76,180,177
PF01643	50,196,196
PF20791	93,94,222
PF01204	79,211,179
PF13088	221,99,196
PF02536	70,186,173
PF21107	197,83,69
PF08923	53,152,193
PF07431	55,147,207
PF05871	223,77,91
PF04212	184,198,79
PF09992	141,79,198
PF17253	96,222,70
PF03403	151,54,188
PF19402	193,54,74
